tag	rep	length	Time	Algorithm	WGD
no_wgd_legacy	0	20	0.08512592315673828	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	40	0.17633485794067383	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	60	0.2782442569732666	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	80	0.36008310317993164	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	100	0.4691810607910156	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	120	0.5542442798614502	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	140	0.6700122356414795	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	160	0.761117696762085	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	180	0.8737988471984863	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	0	200	1.21303129196167	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	20	0.10777568817138672	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	40	0.18316388130187988	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	60	0.2765522003173828	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	80	0.37955522537231445	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	100	0.47246670722961426	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	120	0.5808136463165283	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	140	0.6896674633026123	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	160	0.7969658374786377	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	180	0.8865823745727539	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	1	200	0.982370138168335	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	20	0.10184574127197266	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	40	0.18033337593078613	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	60	0.2792928218841553	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	80	0.38428568840026855	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	100	0.4787602424621582	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	120	0.5944101810455322	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	140	0.6795675754547119	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	160	0.7850635051727295	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	180	0.893211841583252	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	2	200	0.9890749454498291	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	20	0.10396122932434082	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	40	0.1873922348022461	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	60	0.2898392677307129	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	80	0.38295936584472656	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	100	0.47742152214050293	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	120	0.5930976867675781	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	140	0.6869208812713623	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	160	0.794938325881958	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	180	0.8877847194671631	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	3	200	1.0006558895111084	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	20	0.10461139678955078	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	40	0.1883409023284912	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	60	0.30226826667785645	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	80	0.38941407203674316	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	100	0.48719143867492676	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	120	0.5941333770751953	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	140	0.6897392272949219	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	160	0.7876126766204834	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	180	0.9288034439086914	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	4	200	1.0797417163848877	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	20	0.10960197448730469	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	40	0.19136643409729004	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	60	0.2951664924621582	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	80	0.3872065544128418	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	100	0.4967076778411865	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	120	0.6021244525909424	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	140	0.7099654674530029	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	160	0.8037724494934082	"Legacy composition
(Schwarz et al. 2014)"	No WGD
no_wgd_legacy	5	180	0.8994567394256592	"Legacy composition
(Schwarz et al. 2014)"	No WGD
