	WGD	Rate	Number of Leaves	n	Method	filename	rf	grf	quartet	Unnamed: 0
0	highwgd	0.01	100	3	sitka	data_highwgd_0.01_100_3	108.0	0.5612141	0.2781289	
1	highwgd	0.01	10	3	sitka	data_highwgd_0.01_10_3	7.0	0.5420896	0.2469697	
2	highwgd	0.01	15	3	sitka	data_highwgd_0.01_15_3	15.0	0.6334287	0.3436813	
3	highwgd	0.01	20	3	sitka	data_highwgd_0.01_20_3	11.0	0.3704443	0.1669173	
4	highwgd	0.01	250	3	sitka	data_highwgd_0.01_250_3	287.0	0.7424101	0.4300031	
5	highwgd	0.01	3	0	sitka	data_highwgd_0.01_3_0	0.0	0.0	0.0	
6	highwgd	0.01	3	1	sitka	data_highwgd_0.01_3_1	1.0	1.0	0.5	
7	highwgd	0.01	3	10	sitka	data_highwgd_0.01_3_10	0.0	0.0	0.0	
8	highwgd	0.01	3	11	sitka	data_highwgd_0.01_3_11	0.0	0.0	0.0	
9	highwgd	0.01	3	12	sitka	data_highwgd_0.01_3_12	0.0	0.0	0.0	
10	highwgd	0.01	3	13	sitka	data_highwgd_0.01_3_13	0.0	0.0	0.0	
11	highwgd	0.01	3	14	sitka	data_highwgd_0.01_3_14	0.0	0.0	0.0	
12	highwgd	0.01	3	15	sitka	data_highwgd_0.01_3_15	0.0	0.0	0.0	
13	highwgd	0.01	3	16	sitka	data_highwgd_0.01_3_16	1.0	1.0	0.5	
14	highwgd	0.01	3	17	sitka	data_highwgd_0.01_3_17	0.0	0.0	0.0	
15	highwgd	0.01	3	18	sitka	data_highwgd_0.01_3_18	0.0	0.0	0.0	
16	highwgd	0.01	3	19	sitka	data_highwgd_0.01_3_19	2.0	1.0	1.0	
17	highwgd	0.01	3	2	sitka	data_highwgd_0.01_3_2	0.0	0.0	0.0	
18	highwgd	0.01	3	20	sitka	data_highwgd_0.01_3_20	0.0	0.0	0.0	
19	highwgd	0.01	3	21	sitka	data_highwgd_0.01_3_21	0.0	0.0	0.0	
20	highwgd	0.01	3	22	sitka	data_highwgd_0.01_3_22	0.0	0.0	0.0	
21	highwgd	0.01	3	23	sitka	data_highwgd_0.01_3_23	0.0	0.0	0.0	
22	highwgd	0.01	3	24	sitka	data_highwgd_0.01_3_24	0.0	0.0	0.0	
23	highwgd	0.01	3	3	sitka	data_highwgd_0.01_3_3	1.0	1.0	0.5	
24	highwgd	0.01	3	4	sitka	data_highwgd_0.01_3_4	0.0	0.0	0.0	
25	highwgd	0.01	3	5	sitka	data_highwgd_0.01_3_5	0.0	0.0	0.0	
26	highwgd	0.01	3	6	sitka	data_highwgd_0.01_3_6	0.0	0.0	0.0	
27	highwgd	0.01	3	7	sitka	data_highwgd_0.01_3_7	0.0	0.0	0.0	
28	highwgd	0.01	3	8	sitka	data_highwgd_0.01_3_8	0.0	0.0	0.0	
29	highwgd	0.01	3	9	sitka	data_highwgd_0.01_3_9	0.0	0.0	0.0	
30	highwgd	0.01	500	3	sitka	data_highwgd_0.01_500_3	534.0	0.6914396	0.0	
31	highwgd	0.01	50	3	sitka	data_highwgd_0.01_50_3	41.0	0.4488862	0.2817007	
32	highwgd	0.01	5	3	sitka	data_highwgd_0.01_5_3	0.0	0.0	0.0	
33	highwgd	0.025	100	3	sitka	data_highwgd_0.025_100_3	122.0	0.6871018	0.3557693	
34	highwgd	0.025	10	3	sitka	data_highwgd_0.025_10_3	2.0	0.1422911	0.1090909	
35	highwgd	0.025	15	3	sitka	data_highwgd_0.025_15_3	15.0	0.4764207	0.3826923	
36	highwgd	0.025	20	3	sitka	data_highwgd_0.025_20_3	24.0	0.428379	0.3151211	
37	highwgd	0.025	250	3	sitka	data_highwgd_0.025_250_3	295.0	0.8661475	0.5605249	
38	highwgd	0.025	3	0	sitka	data_highwgd_0.025_3_0	0.0	0.0	0.0	
39	highwgd	0.025	3	1	sitka	data_highwgd_0.025_3_1	0.0	0.0	0.0	
