	leaves	n	rf	grf	quartet
0	3	0	2.0	1.0	1.0
1	5	0	4.0	0.5144018	0.4666667
2	10	0	16.0	0.7933885	0.6939394
3	15	0	26.0	0.7952184	0.6895604
4	20	0	36.0	0.8362112	0.6785297
5	50	0	94.0	0.8769666	0.6886435
6	100	0	194.0	0.8730988	0.6595913
7	250	0	492.0	0.8911615	0.6699436
8	500	0	996.0	0.9109105	-1.0
9	3	1	2.0	1.0	1.0
10	5	1	2.0	0.3237321	0.2666667
11	10	1	16.0	0.8670678	0.7636364
12	15	1	26.0	0.8197807	0.6763736
13	20	1	36.0	0.817601	0.6561404
14	50	1	96.0	0.869461	0.6744138
15	100	1	196.0	0.8851165	0.6758275
16	250	1	496.0	0.893407	0.6682618
17	500	1	996.0	0.9050407	-1.0
18	3	2	2.0	1.0	1.0
19	5	2	6.0	0.7259825	0.8
20	10	2	16.0	0.8690205	0.7878788
21	15	2	26.0	0.7977281	0.65
22	20	2	36.0	0.8331141	0.6584795
23	50	2	96.0	0.8617471	0.6631293
24	100	2	196.0	0.8868567	0.668072
25	250	2	496.0	0.9031123	0.6700298
26	500	2	996.0	0.9066628	-1.0
27	3	3	0.0	0.0	0.0
28	5	3	6.0	0.7494257	0.7333333
29	10	3	16.0	0.7144372	0.6242424
30	15	3	26.0	0.7895936	0.65
31	20	3	36.0	0.8461176	0.6735171
32	50	3	96.0	0.8592894	0.6662825
33	100	3	196.0	0.8891018	0.6765841
34	250	3	496.0	0.9014073	0.6675252
35	500	3	996.0	0.9114122	-1.0
36	3	4	2.0	1.0	1.0
37	5	4	6.0	0.9400954	0.9333333
38	10	4	16.0	0.8039624	0.7151515
39	15	4	26.0	0.7192125	0.5379121
40	20	4	34.0	0.7766817	0.659482
41	50	4	96.0	0.8758008	0.6736575
42	100	4	196.0	0.8707445	0.6543135
43	250	4	496.0	0.8966635	0.6691767
44	500	4	996.0	0.9052848	-1.0
45	3	5	0.0	0.0	0.0
46	5	5	6.0	0.8225834	0.8
47	10	5	16.0	0.7669069	0.6848485
48	15	5	26.0	0.8680106	0.7340659
49	20	5	36.0	0.8226972	0.6681704
50	50	5	96.0	0.8709675	0.655118
51	100	5	196.0	0.8764365	0.6700226
52	250	5	494.0	0.8978669	0.6689993
53	500	5	996.0	0.9065812	-1.0
54	3	6	2.0	1.0	1.0
55	5	6	6.0	0.8225834	0.8
56	10	6	16.0	0.9039113	0.8
57	15	6	24.0	0.7706066	0.628022
58	20	6	36.0	0.8563262	0.6873851
59	50	6	96.0	0.8739911	0.677579
60	100	6	194.0	0.8789422	0.6681979
61	250	6	494.0	0.9014775	0.6697059
62	500	6	994.0	0.9053705	-1.0
63	3	7	2.0	1.0	1.0
64	5	7	6.0	0.6607174	0.6666667
65	10	7	16.0	0.622962	0.5030303
66	15	7	24.0	0.7027254	0.5967033
67	20	7	36.0	0.8596948	0.7238095
68	50	7	96.0	0.8658351	0.6785714
69	100	7	196.0	0.8796168	0.6763617
70	250	7	494.0	0.9025088	0.6694014
71	500	7	996.0	0.8988559	-1.0
72	3	8	0.0	0.0	0.0
