	WGD	Rate	Number of Leaves	n	Method	Distance
0	No WGD	0.05	20	14	Euclidean NJ	8
1	No WGD	0.05	20	14	Euclidean Min. Ev.	8
2	No WGD	0.05	20	14	Manhattan NJ	4
3	No WGD	0.05	20	14	Manhattan Min. Ev.	8
4	No WGD	0.05	20	14	MEDALT	13
5	No WGD	0.05	20	14	MEDICC2	4
6	No WGD	0.05	5	22	Euclidean NJ	0
7	No WGD	0.05	5	22	Euclidean Min. Ev.	0
8	No WGD	0.05	5	22	Manhattan NJ	0
9	No WGD	0.05	5	22	Manhattan Min. Ev.	0
10	No WGD	0.05	5	22	MEDALT	2
11	No WGD	0.05	5	22	MEDICC2	0
12	Low WGD	0.01	100	22	Euclidean NJ	62
13	Low WGD	0.01	100	22	Euclidean Min. Ev.	54
14	Low WGD	0.01	100	22	Manhattan NJ	42
15	Low WGD	0.01	100	22	Manhattan Min. Ev.	54
16	Low WGD	0.01	100	22	MEDALT	79
17	Low WGD	0.01	100	22	MEDICC2	30
18	Low WGD	0.025	100	8	Euclidean NJ	66
19	Low WGD	0.025	100	8	Euclidean Min. Ev.	40
20	Low WGD	0.025	100	8	Manhattan NJ	24
21	Low WGD	0.025	100	8	Manhattan Min. Ev.	40
22	Low WGD	0.025	100	8	MEDALT	79
23	Low WGD	0.025	100	8	MEDICC2	16
24	High WGD	0.01	5	23	Euclidean NJ	2
25	High WGD	0.01	5	23	Euclidean Min. Ev.	2
26	High WGD	0.01	5	23	Manhattan NJ	2
27	High WGD	0.01	5	23	Manhattan Min. Ev.	2
28	High WGD	0.01	5	23	MEDALT	3
29	High WGD	0.01	5	23	MEDICC2	2
30	Low WGD	0.025	5	20	Euclidean NJ	0
31	Low WGD	0.025	5	20	Euclidean Min. Ev.	0
32	Low WGD	0.025	5	20	Manhattan NJ	0
33	Low WGD	0.025	5	20	Manhattan Min. Ev.	0
34	Low WGD	0.025	5	20	MEDALT	2
35	Low WGD	0.025	5	20	MEDICC2	0
36	Low WGD	0.025	100	17	Euclidean NJ	44
37	Low WGD	0.025	100	17	Euclidean Min. Ev.	48
38	Low WGD	0.025	100	17	Manhattan NJ	34
39	Low WGD	0.025	100	17	Manhattan Min. Ev.	48
40	Low WGD	0.025	100	17	MEDALT	84
41	Low WGD	0.025	100	17	MEDICC2	20
42	Low WGD	0.025	50	0	Euclidean NJ	12
43	Low WGD	0.025	50	0	Euclidean Min. Ev.	10
44	Low WGD	0.025	50	0	Manhattan NJ	8
45	Low WGD	0.025	50	0	Manhattan Min. Ev.	10
46	Low WGD	0.025	50	0	MEDALT	27
47	Low WGD	0.025	50	0	MEDICC2	6
48	High WGD	0.05	15	7	Euclidean NJ	4
49	High WGD	0.05	15	7	Euclidean Min. Ev.	4
50	High WGD	0.05	15	7	Manhattan NJ	2
51	High WGD	0.05	15	7	Manhattan Min. Ev.	4
52	High WGD	0.05	15	7	MEDALT	10
53	High WGD	0.05	15	7	MEDICC2	2
54	High WGD	0.025	20	3	Euclidean NJ	4
55	High WGD	0.025	20	3	Euclidean Min. Ev.	4
56	High WGD	0.025	20	3	Manhattan NJ	2
57	High WGD	0.025	20	3	Manhattan Min. Ev.	4
58	High WGD	0.025	20	3	MEDALT	20
59	High WGD	0.025	20	3	MEDICC2	0
60	Low WGD	0.05	3	10	Euclidean NJ	0
61	Low WGD	0.05	3	10	Euclidean Min. Ev.	0
62	Low WGD	0.05	3	10	Manhattan NJ	0
63	Low WGD	0.05	3	10	Manhattan Min. Ev.	0
64	Low WGD	0.05	3	10	MEDALT	1
65	Low WGD	0.05	3	10	MEDICC2	0
66	Low WGD	0.1	20	19	Euclidean NJ	10
67	Low WGD	0.1	20	19	Euclidean Min. Ev.	10
68	Low WGD	0.1	20	19	Manhattan NJ	6
69	Low WGD	0.1	20	19	Manhattan Min. Ev.	10
70	Low WGD	0.1	20	19	MEDALT	18
71	Low WGD	0.1	20	19	MEDICC2	8
72	Low WGD	0.075	20	17	Euclidean NJ	2
73	Low WGD	0.075	20	17	Euclidean Min. Ev.	2
74	Low WGD	0.075	20	17	Manhattan NJ	0
75	Low WGD	0.075	20	17	Manhattan Min. Ev.	2
76	Low WGD	0.075	20	17	MEDALT	16
77	Low WGD	0.075	20	17	MEDICC2	2
78	High WGD	0.05	10	3	Euclidean NJ	6
79	High WGD	0.05	10	3	Euclidean Min. Ev.	6
80	High WGD	0.05	10	3	Manhattan NJ	2
81	High WGD	0.05	10	3	Manhattan Min. Ev.	6
82	High WGD	0.05	10	3	MEDALT	7
83	High WGD	0.05	10	3	MEDICC2	0
84	Low WGD	0.05	10	24	Euclidean NJ	0
85	Low WGD	0.05	10	24	Euclidean Min. Ev.	2
86	Low WGD	0.05	10	24	Manhattan NJ	0
87	Low WGD	0.05	10	24	Manhattan Min. Ev.	2
88	Low WGD	0.05	10	24	MEDALT	7
89	Low WGD	0.05	10	24	MEDICC2	0
90	Low WGD	0.05	20	17	Euclidean NJ	14
91	Low WGD	0.05	20	17	Euclidean Min. Ev.	12
92	Low WGD	0.05	20	17	Manhattan NJ	8
93	Low WGD	0.05	20	17	Manhattan Min. Ev.	12
94	Low WGD	0.05	20	17	MEDALT	13
95	Low WGD	0.05	20	17	MEDICC2	6
96	Low WGD	0.01	5	18	Euclidean NJ	2
97	Low WGD	0.01	5	18	Euclidean Min. Ev.	2
98	Low WGD	0.01	5	18	Manhattan NJ	0
99	Low WGD	0.01	5	18	Manhattan Min. Ev.	2
100	Low WGD	0.01	5	18	MEDALT	3
101	Low WGD	0.01	5	18	MEDICC2	0
102	Low WGD	0.1	20	22	Euclidean NJ	12
103	Low WGD	0.1	20	22	Euclidean Min. Ev.	8
104	Low WGD	0.1	20	22	Manhattan NJ	4
105	Low WGD	0.1	20	22	Manhattan Min. Ev.	8
106	Low WGD	0.1	20	22	MEDALT	18
107	Low WGD	0.1	20	22	MEDICC2	8
108	Low WGD	0.025	20	17	Euclidean NJ	8
109	Low WGD	0.025	20	17	Euclidean Min. Ev.	8
110	Low WGD	0.025	20	17	Manhattan NJ	2
111	Low WGD	0.025	20	17	Manhattan Min. Ev.	8
112	Low WGD	0.025	20	17	MEDALT	15
113	Low WGD	0.025	20	17	MEDICC2	4
114	High WGD	0.025	5	11	Euclidean NJ	0
115	High WGD	0.025	5	11	Euclidean Min. Ev.	0
116	High WGD	0.025	5	11	Manhattan NJ	0
117	High WGD	0.025	5	11	Manhattan Min. Ev.	0
118	High WGD	0.025	5	11	MEDALT	0
119	High WGD	0.025	5	11	MEDICC2	0
120	High WGD	0.1	15	1	Euclidean NJ	6
121	High WGD	0.1	15	1	Euclidean Min. Ev.	6
122	High WGD	0.1	15	1	Manhattan NJ	4
123	High WGD	0.1	15	1	Manhattan Min. Ev.	6
124	High WGD	0.1	15	1	MEDALT	13
125	High WGD	0.1	15	1	MEDICC2	2
126	No WGD	0.075	15	4	Euclidean NJ	6
127	No WGD	0.075	15	4	Euclidean Min. Ev.	6
128	No WGD	0.075	15	4	Manhattan NJ	2
129	No WGD	0.075	15	4	Manhattan Min. Ev.	6
130	No WGD	0.075	15	4	MEDALT	13
131	No WGD	0.075	15	4	MEDICC2	2
132	High WGD	0.01	10	23	Euclidean NJ	8
133	High WGD	0.01	10	23	Euclidean Min. Ev.	6
134	High WGD	0.01	10	23	Manhattan NJ	6
135	High WGD	0.01	10	23	Manhattan Min. Ev.	6
136	High WGD	0.01	10	23	MEDALT	6
137	High WGD	0.01	10	23	MEDICC2	4
138	Low WGD	0.01	50	15	Euclidean NJ	20
139	Low WGD	0.01	50	15	Euclidean Min. Ev.	18
140	Low WGD	0.01	50	15	Manhattan NJ	10
141	Low WGD	0.01	50	15	Manhattan Min. Ev.	18
142	Low WGD	0.01	50	15	MEDALT	47
143	Low WGD	0.01	50	15	MEDICC2	10
144	Low WGD	0.05	50	4	Euclidean NJ	20
145	Low WGD	0.05	50	4	Euclidean Min. Ev.	20
146	Low WGD	0.05	50	4	Manhattan NJ	16
147	Low WGD	0.05	50	4	Manhattan Min. Ev.	20
148	Low WGD	0.05	50	4	MEDALT	41
149	Low WGD	0.05	50	4	MEDICC2	16
150	Low WGD	0.05	3	22	Euclidean NJ	0
151	Low WGD	0.05	3	22	Euclidean Min. Ev.	0
152	Low WGD	0.05	3	22	Manhattan NJ	0
153	Low WGD	0.05	3	22	Manhattan Min. Ev.	0
154	Low WGD	0.05	3	22	MEDALT	1
155	Low WGD	0.05	3	22	MEDICC2	0
156	No WGD	0.075	15	5	Euclidean NJ	8
157	No WGD	0.075	15	5	Euclidean Min. Ev.	10
158	No WGD	0.075	15	5	Manhattan NJ	4
159	No WGD	0.075	15	5	Manhattan Min. Ev.	10
160	No WGD	0.075	15	5	MEDALT	10
161	No WGD	0.075	15	5	MEDICC2	2
162	No WGD	0.025	15	17	Euclidean NJ	4
163	No WGD	0.025	15	17	Euclidean Min. Ev.	4
164	No WGD	0.025	15	17	Manhattan NJ	0
165	No WGD	0.025	15	17	Manhattan Min. Ev.	4
166	No WGD	0.025	15	17	MEDALT	14
167	No WGD	0.025	15	17	MEDICC2	2
168	Low WGD	0.01	5	16	Euclidean NJ	4
169	Low WGD	0.01	5	16	Euclidean Min. Ev.	4
170	Low WGD	0.01	5	16	Manhattan NJ	4
171	Low WGD	0.01	5	16	Manhattan Min. Ev.	4
172	Low WGD	0.01	5	16	MEDALT	4
173	Low WGD	0.01	5	16	MEDICC2	4
174	Low WGD	0.025	3	12	Euclidean NJ	0
175	Low WGD	0.025	3	12	Euclidean Min. Ev.	0
176	Low WGD	0.025	3	12	Manhattan NJ	0
