Rate	Number of Leaves	n	WGD	Method	Distance
0.01	5	0	High WGD	MEDALT	0.193126721428565
0.01	5	0	High WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	0	High WGD	Euclidean NJ	0.343074842208707
0.01	5	0	High WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	0	High WGD	Hamming NJ	0.343074842208707
0.01	5	0	High WGD	MEDICC2	0.0
0.01	5	0	Low WGD	MEDALT	0.358722062710725
0.01	5	0	Low WGD	Euclidean Min. Ev.	0.323732119916531
0.01	5	0	Low WGD	Euclidean NJ	0.323732119916531
0.01	5	0	Low WGD	Hamming Min. Ev.	0.323732119916531
0.01	5	0	Low WGD	Hamming NJ	0.0
0.01	5	0	Low WGD	MEDICC2	0.0
0.01	5	0	No WGD	MEDALT	0.358722062710725
0.01	5	0	No WGD	Euclidean Min. Ev.	0.323732119916531
0.01	5	0	No WGD	Euclidean NJ	0.323732119916531
0.01	5	0	No WGD	Hamming Min. Ev.	0.323732119916531
0.01	5	0	No WGD	Hamming NJ	0.0
0.01	5	0	No WGD	MEDICC2	0.0
0.01	5	1	High WGD	MEDALT	1.0
0.01	5	1	High WGD	Euclidean Min. Ev.	0.0
0.01	5	1	High WGD	Euclidean NJ	0.0
0.01	5	1	High WGD	Hamming Min. Ev.	0.0
0.01	5	1	High WGD	Hamming NJ	0.0
0.01	5	1	High WGD	MEDICC2	0.0
0.01	5	1	Low WGD	MEDALT	0.609707449395946
0.01	5	1	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	1	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	1	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	1	Low WGD	Hamming NJ	0.308181620264318
0.01	5	1	Low WGD	MEDICC2	0.0
0.01	5	1	No WGD	MEDALT	0.609707449395946
0.01	5	1	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	1	No WGD	Euclidean NJ	0.308181620264318
0.01	5	1	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	1	No WGD	Hamming NJ	0.308181620264318
0.01	5	1	No WGD	MEDICC2	0.0
0.01	5	2	High WGD	MEDALT	0.496458026037291
0.01	5	2	High WGD	Euclidean Min. Ev.	0.0
0.01	5	2	High WGD	Euclidean NJ	0.0
0.01	5	2	High WGD	Hamming Min. Ev.	0.0
0.01	5	2	High WGD	Hamming NJ	0.0
0.01	5	2	High WGD	MEDICC2	0.0
0.01	5	2	Low WGD	MEDALT	0.517959650460847
0.01	5	2	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	2	Low WGD	Euclidean NJ	0.0
0.01	5	2	Low WGD	Hamming Min. Ev.	0.0
0.01	5	2	Low WGD	Hamming NJ	0.0
0.01	5	2	Low WGD	MEDICC2	0.0
0.01	5	2	No WGD	MEDALT	0.517959650460847
0.01	5	2	No WGD	Euclidean Min. Ev.	0.0
0.01	5	2	No WGD	Euclidean NJ	0.0
