	WGD	Rate	Number of Leaves	n	Method	Distance
0	No WGD	0.05	20	14	Euclidean NJ	0.167386804323696
1	No WGD	0.05	20	14	Euclidean Min. Ev.	0.174529448787042
2	No WGD	0.05	20	14	Manhattan NJ	0.0722622182691648
3	No WGD	0.05	20	14	Manhattan Min. Ev.	0.174529448787042
4	No WGD	0.05	20	14	MEDALT	0.622571067433186
5	No WGD	0.05	20	14	MEDICC2	0.0666561678913114
6	No WGD	0.05	5	22	Euclidean NJ	0.0
7	No WGD	0.05	5	22	Euclidean Min. Ev.	0.0
8	No WGD	0.05	5	22	Manhattan NJ	0.0
9	No WGD	0.05	5	22	Manhattan Min. Ev.	0.0
10	No WGD	0.05	5	22	MEDALT	0.510879708899193
11	No WGD	0.05	5	22	MEDICC2	0.0
12	Low WGD	0.01	100	22	Euclidean NJ	0.239124428465542
13	Low WGD	0.01	100	22	Euclidean Min. Ev.	0.192593103142301
14	Low WGD	0.01	100	22	Manhattan NJ	0.189848248689483
15	Low WGD	0.01	100	22	Manhattan Min. Ev.	0.192593103142301
16	Low WGD	0.01	100	22	MEDALT	0.352387219863194
17	Low WGD	0.01	100	22	MEDICC2	0.125874242819004
18	Low WGD	0.025	100	8	Euclidean NJ	0.229328870155575
19	Low WGD	0.025	100	8	Euclidean Min. Ev.	0.179456547816775
20	Low WGD	0.025	100	8	Manhattan NJ	0.10578651913567
21	Low WGD	0.025	100	8	Manhattan Min. Ev.	0.179456547816775
22	Low WGD	0.025	100	8	MEDALT	0.466400291399657
23	Low WGD	0.025	100	8	MEDICC2	0.0691747016203938
24	High WGD	0.01	5	23	Euclidean NJ	0.343074842208707
25	High WGD	0.01	5	23	Euclidean Min. Ev.	0.343074842208707
26	High WGD	0.01	5	23	Manhattan NJ	0.343074842208707
27	High WGD	0.01	5	23	Manhattan Min. Ev.	0.343074842208707
28	High WGD	0.01	5	23	MEDALT	0.799086165364304
29	High WGD	0.01	5	23	MEDICC2	0.323732119916531
30	Low WGD	0.025	5	20	Euclidean NJ	0.0
31	Low WGD	0.025	5	20	Euclidean Min. Ev.	0.0
32	Low WGD	0.025	5	20	Manhattan NJ	0.0
33	Low WGD	0.025	5	20	Manhattan Min. Ev.	0.0
34	Low WGD	0.025	5	20	MEDALT	0.48872932290753
35	Low WGD	0.025	5	20	MEDICC2	0.0
36	Low WGD	0.025	100	17	Euclidean NJ	0.180331575986335
37	Low WGD	0.025	100	17	Euclidean Min. Ev.	0.187454510737047
38	Low WGD	0.025	100	17	Manhattan NJ	0.121177557305606
39	Low WGD	0.025	100	17	Manhattan Min. Ev.	0.187454510737047
40	Low WGD	0.025	100	17	MEDALT	0.568827540022628
