	WGD	Rate	Number of Leaves	n	Method	Distance
0	No WGD	0.05	20	14	Euclidean NJ	0.0474519632414369
1	No WGD	0.05	20	14	Euclidean Min. Ev.	0.0474519632414369
2	No WGD	0.05	20	14	Manhattan NJ	0.008688387635756
3	No WGD	0.05	20	14	Manhattan Min. Ev.	0.0474519632414369
4	No WGD	0.05	20	14	MEDALT	0.398579782790309
5	No WGD	0.05	20	14	MEDICC2	0.008688387635756
6	No WGD	0.05	5	22	Euclidean NJ	0.0
7	No WGD	0.05	5	22	Euclidean Min. Ev.	0.0
8	No WGD	0.05	5	22	Manhattan NJ	0.0
9	No WGD	0.05	5	22	Manhattan Min. Ev.	0.0
10	No WGD	0.05	5	22	MEDALT	0.3
11	No WGD	0.05	5	22	MEDICC2	0.0
12	Low WGD	0.01	100	22	Euclidean NJ	0.117854724247935
13	Low WGD	0.01	100	22	Euclidean Min. Ev.	0.0697649356772412
14	Low WGD	0.01	100	22	Manhattan NJ	0.111680474169866
15	Low WGD	0.01	100	22	Manhattan Min. Ev.	0.0697649356772412
16	Low WGD	0.01	100	22	MEDALT	0.169917032519578
17	Low WGD	0.01	100	22	MEDICC2	0.036744980620511
18	Low WGD	0.025	100	8	Euclidean NJ	0.115606336143818
19	Low WGD	0.025	100	8	Euclidean Min. Ev.	0.110341972972807
20	Low WGD	0.025	100	8	Manhattan NJ	0.0575019134566518
21	Low WGD	0.025	100	8	Manhattan Min. Ev.	0.110341972972807
22	Low WGD	0.025	100	8	MEDALT	0.203123373561846
23	Low WGD	0.025	100	8	MEDICC2	0.0113487267094056
24	High WGD	0.01	5	23	Euclidean NJ	0.266666666666667
25	High WGD	0.01	5	23	Euclidean Min. Ev.	0.266666666666667
26	High WGD	0.01	5	23	Manhattan NJ	0.266666666666667
27	High WGD	0.01	5	23	Manhattan Min. Ev.	0.266666666666667
28	High WGD	0.01	5	23	MEDALT	0.633333333333333
29	High WGD	0.01	5	23	MEDICC2	0.266666666666667
30	Low WGD	0.025	5	20	Euclidean NJ	0.0
31	Low WGD	0.025	5	20	Euclidean Min. Ev.	0.0
32	Low WGD	0.025	5	20	Manhattan NJ	0.0
33	Low WGD	0.025	5	20	Manhattan Min. Ev.	0.0
34	Low WGD	0.025	5	20	MEDALT	0.4
35	Low WGD	0.025	5	20	MEDICC2	0.0
36	Low WGD	0.025	100	17	Euclidean NJ	0.0824575518776367
37	Low WGD	0.025	100	17	Euclidean Min. Ev.	0.0784530697967756
38	Low WGD	0.025	100	17	Manhattan NJ	0.0501978361101416
39	Low WGD	0.025	100	17	Manhattan Min. Ev.	0.0784530697967756
40	Low WGD	0.025	100	17	MEDALT	0.361306416355921
41	Low WGD	0.025	100	17	MEDICC2	0.0422745948064194
42	Low WGD	0.025	50	0	Euclidean NJ	0.0408803521408563
43	Low WGD	0.025	50	0	Euclidean Min. Ev.	0.0635534213685474
44	Low WGD	0.025	50	0	Manhattan NJ	0.0436894757903161
45	Low WGD	0.025	50	0	Manhattan Min. Ev.	0.0635534213685474
46	Low WGD	0.025	50	0	MEDALT	0.316658663465386
47	Low WGD	0.025	50	0	MEDICC2	0.0207122849139656
48	High WGD	0.05	15	7	Euclidean NJ	0.0576923076923077
49	High WGD	0.05	15	7	Euclidean Min. Ev.	0.0576923076923077
50	High WGD	0.05	15	7	Manhattan NJ	0.0445054945054945
51	High WGD	0.05	15	7	Manhattan Min. Ev.	0.0576923076923077
52	High WGD	0.05	15	7	MEDALT	0.290384615384615
53	High WGD	0.05	15	7	MEDICC2	0.0445054945054945
54	High WGD	0.025	20	3	Euclidean NJ	0.123976608187135
55	High WGD	0.025	20	3	Euclidean Min. Ev.	0.123976608187135
56	High WGD	0.025	20	3	Manhattan NJ	0.0187134502923977
57	High WGD	0.025	20	3	Manhattan Min. Ev.	0.123976608187135
58	High WGD	0.025	20	3	MEDALT	0.288220551378446
59	High WGD	0.025	20	3	MEDICC2	0.0
60	Low WGD	0.05	3	10	Euclidean NJ	0.0
61	Low WGD	0.05	3	10	Euclidean Min. Ev.	0.0
62	Low WGD	0.05	3	10	Manhattan NJ	0.0
