	OV03-04_Bl_B01	OV03-04_Bl_B03	OV03-04_Om_S01	OV03-04_Om_S02	OV03-04_Om_S03	OV03-04_Om_S04	OV03-04_Om_S05	OV03-04_Om_S06	OV03-04_Om_S07	OV03-04_Om_S08	OV03-04_Om_S09	OV03-04_Om_S11	OV03-04_Om_S12	OV03-04_Om_S13	OV03-04_Om_S14	OV03-04_Om_S15	OV03-04_VV_B01	OV03-04_VV_B02	OV03-04_diploid
OV03-04_Bl_B01	0.0	77.0	73.0	60.0	68.0	87.0	75.0	68.0	65.0	84.0	65.0	75.0	81.0	74.0	90.0	60.0	49.0	43.0	105.0
OV03-04_Bl_B03	77.0	0.0	89.0	78.0	84.0	86.0	90.0	87.0	88.0	97.0	73.0	108.0	96.0	86.0	98.0	82.0	68.0	69.0	125.0
OV03-04_Om_S01	73.0	89.0	0.0	73.0	78.0	80.0	68.0	87.0	72.0	67.0	84.0	59.0	72.0	59.0	80.0	70.0	81.0	72.0	102.0
OV03-04_Om_S02	60.0	78.0	73.0	0.0	38.0	94.0	68.0	47.0	42.0	75.0	35.0	87.0	83.0	72.0	84.0	40.0	68.0	67.0	110.0
OV03-04_Om_S03	68.0	84.0	78.0	38.0	0.0	89.0	78.0	53.0	47.0	82.0	43.0	91.0	87.0	79.0	89.0	42.0	72.0	73.0	108.0
OV03-04_Om_S04	87.0	86.0	80.0	94.0	89.0	0.0	88.0	93.0	94.0	76.0	88.0	85.0	80.0	73.0	28.0	88.0	80.0	89.0	62.0
OV03-04_Om_S05	75.0	90.0	68.0	68.0	78.0	88.0	0.0	83.0	70.0	77.0	77.0	77.0	84.0	56.0	85.0	55.0	76.0	83.0	115.0
OV03-04_Om_S06	68.0	87.0	87.0	47.0	53.0	93.0	83.0	0.0	51.0	86.0	44.0	92.0	87.0	88.0	86.0	64.0	71.0	74.0	105.0
OV03-04_Om_S07	65.0	88.0	72.0	42.0	47.0	94.0	70.0	51.0	0.0	82.0	47.0	85.0	85.0	84.0	89.0	50.0	71.0	70.0	106.0
OV03-04_Om_S08	84.0	97.0	67.0	75.0	82.0	76.0	77.0	86.0	82.0	0.0	90.0	62.0	42.0	53.0	74.0	74.0	87.0	85.0	94.0
OV03-04_Om_S09	65.0	73.0	84.0	35.0	43.0	88.0	77.0	44.0	47.0	90.0	0.0	97.0	87.0	81.0	84.0	59.0	60.0	72.0	109.0
OV03-04_Om_S11	75.0	108.0	59.0	87.0	91.0	85.0	77.0	92.0	85.0	62.0	97.0	0.0	77.0	55.0	78.0	83.0	91.0	88.0	97.0
OV03-04_Om_S12	81.0	96.0	72.0	83.0	87.0	80.0	84.0	87.0	85.0	42.0	87.0	77.0	0.0	68.0	76.0	77.0	78.0	73.0	93.0
OV03-04_Om_S13	74.0	86.0	59.0	72.0	79.0	73.0	56.0	88.0	84.0	53.0	81.0	55.0	68.0	0.0	72.0	66.0	76.0	85.0	97.0
OV03-04_Om_S14	90.0	98.0	80.0	84.0	89.0	28.0	85.0	86.0	89.0	74.0	84.0	78.0	76.0	72.0	0.0	91.0	87.0	92.0	61.0
OV03-04_Om_S15	60.0	82.0	70.0	40.0	42.0	88.0	55.0	64.0	50.0	74.0	59.0	83.0	77.0	66.0	91.0	0.0	71.0	70.0	105.0
OV03-04_VV_B01	49.0	68.0	81.0	68.0	72.0	80.0	76.0	71.0	71.0	87.0	60.0	91.0	78.0	76.0	87.0	71.0	0.0	47.0	109.0
OV03-04_VV_B02	43.0	69.0	72.0	67.0	73.0	89.0	83.0	74.0	70.0	85.0	72.0	88.0	73.0	85.0	92.0	70.0	47.0	0.0	109.0
OV03-04_diploid	105.0	125.0	102.0	110.0	108.0	62.0	115.0	105.0	106.0	94.0	109.0	97.0	93.0	97.0	61.0	105.0	109.0	109.0	0.0
