branch	name	FractionOverlaps	event	final_name
internal_2	chr3	0.982193156526261	gain	3 +
internal_2	CNTN6	1.0	gain	CNTN6 +
internal_2	IL5RA	1.0	gain	IL5RA +
internal_2	THUMPD3	1.0	gain	THUMPD3 +
internal_2	CAMK1	1.0	gain	CAMK1 +
internal_2	VHL	1.0	gain	VHL +
internal_2	RAF1	1.0	gain	RAF1 +
internal_2	FBLN2	1.0	gain	FBLN2 +
internal_2	CHCHD4	1.0	gain	CHCHD4 +
internal_2	KAT2B	1.0	gain	KAT2B +
internal_2	TOP2B	1.0	gain	TOP2B +
internal_2	SLC4A7	1.0	gain	SLC4A7 +
internal_2	EOMES	1.0	gain	EOMES +
internal_2	TGFBR2	1.0	gain	TGFBR2 +
internal_2	CLASP2	1.0	gain	CLASP2 +
internal_2	ARPP21	1.0	gain	ARPP21 +
internal_2	STAC	1.0	gain	STAC +
internal_2	MLH1	1.0	gain	MLH1 +
internal_2	MYD88	1.0	gain	MYD88 +
internal_2	SCN5A	1.0	gain	SCN5A +
internal_2	SCN10A	1.0	gain	SCN10A +
internal_2	CTNNB1	1.0	gain	CTNNB1 +
internal_2	CYP8B1	1.0	gain	CYP8B1 +
internal_2	ZKSCAN7	1.0	gain	ZKSCAN7 +
internal_2	SETD2	1.0	gain	SETD2 +
internal_2	CDC25A	1.0	gain	CDC25A +
internal_2	DALRD3	1.0	gain	DALRD3 +
internal_2	KLHDC8B	1.0	gain	KLHDC8B +
internal_2	CCDC36	1.0	gain	CCDC36 +
internal_2	RHOA	1.0	gain	RHOA +
internal_2	NICN1	1.0	gain	NICN1 +
internal_2	RBM5	1.0	gain	RBM5 +
internal_2	RBM15B	1.0	gain	RBM15B +
internal_2	IQCF2	1.0	gain	IQCF2 +
internal_2	PCBP4	1.0	gain	PCBP4 +
internal_2	ACY1	1.0	gain	ACY1 +
internal_2	TLR9	1.0	gain	TLR9 +
internal_2	TWF2	1.0	gain	TWF2 +
internal_2	BAP1	1.0	gain	BAP1 +
internal_2	PBRM1	1.0	gain	PBRM1 +
internal_2	GLT8D1	1.0	gain	GLT8D1 +
internal_2	SPCS1	1.0	gain	SPCS1 +
internal_2	PRKCD	1.0	gain	PRKCD +
internal_2	CACNA1D	1.0	gain	CACNA1D +
internal_2	ERC2	1.0	gain	ERC2 +
internal_2	HESX1	1.0	gain	HESX1 +
internal_2	ARF4	1.0	gain	ARF4 +
internal_2	DENND6A	1.0	gain	DENND6A +
internal_2	PXK	1.0	gain	PXK +
internal_2	CADPS	1.0	gain	CADPS +
internal_2	PSMD6	1.0	gain	PSMD6 +
internal_2	FAM19A1	1.0	gain	FAM19A1 +
internal_2	ZNF717	1.0	gain	ZNF717 +
internal_2	ROBO2	1.0	gain	ROBO2 +
internal_2	GBE1	1.0	gain	GBE1 +
internal_2	ZNF654	1.0	gain	ZNF654 +
internal_2	EPHA3	1.0	gain	EPHA3 +
internal_2	EPHA6	1.0	gain	EPHA6 +
internal_2	OR5AC2	1.0	gain	OR5AC2 +
