	LAdrenalMet_A21D-0096_CRUK_PC_0096_M3	LClavicleLNMet_A21I-0096_CRUK_PC_0096_M8	LIliacCrestSoftMet_A21J-0096_CRUK_PC_0096_M9	LRib5MassMet_A21A-0096_CRUK_PC_0096_M1	MultLiverMet13_A21H-0096_CRUK_PC_0096_M7	RRibNodularMet_A21F-0096_CRUK_PC_0096_M5	SingleLiverMet2_A21G-0096_CRUK_PC_0096_M6	SingleLiverMet4_A21E-0096_CRUK_PC_0096_M4	SingleLiverMet8_A21C-0096_CRUK_PC_0096_M2	diploid
LAdrenalMet_A21D-0096_CRUK_PC_0096_M3	0.0	51.0	45.0	45.0	44.0	111.0	43.0	42.0	40.0	70.0
LClavicleLNMet_A21I-0096_CRUK_PC_0096_M8	51.0	0.0	35.0	47.0	43.0	99.0	43.0	56.0	53.0	55.0
LIliacCrestSoftMet_A21J-0096_CRUK_PC_0096_M9	45.0	35.0	0.0	38.0	36.0	85.0	33.0	47.0	50.0	51.0
LRib5MassMet_A21A-0096_CRUK_PC_0096_M1	45.0	47.0	38.0	0.0	31.0	104.0	33.0	44.0	45.0	64.0
MultLiverMet13_A21H-0096_CRUK_PC_0096_M7	44.0	43.0	36.0	31.0	0.0	97.0	16.0	26.0	29.0	57.0
RRibNodularMet_A21F-0096_CRUK_PC_0096_M5	111.0	99.0	85.0	104.0	97.0	0.0	98.0	108.0	112.0	98.0
SingleLiverMet2_A21G-0096_CRUK_PC_0096_M6	43.0	43.0	33.0	33.0	16.0	98.0	0.0	23.0	27.0	58.0
SingleLiverMet4_A21E-0096_CRUK_PC_0096_M4	42.0	56.0	47.0	44.0	26.0	108.0	23.0	0.0	21.0	69.0
SingleLiverMet8_A21C-0096_CRUK_PC_0096_M2	40.0	53.0	50.0	45.0	29.0	112.0	27.0	21.0	0.0	68.0
diploid	70.0	55.0	51.0	64.0	57.0	98.0	58.0	69.0	68.0	0.0
