sample_id	chrom	start	end	cn_a	cn_b
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	762601	3075597	1	0
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	3665867	6733081	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	7559952	8906743	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	8909389	12825886	1	0
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	13783611	15817319	1	0
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	18297407	20454331	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	23793637	26645740	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	28328503	36495059	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	37058303	41858282	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	41862806	46118745	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	46761496	48805209	1	0
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	48812953	51251854	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	51555712	64001873	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	64160050	66498755	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	66805439	73387101	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	73704258	76944670	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	77130182	79173976	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	79975609	81323745	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	81667328	82972183	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	82974688	99957207	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	100830479	102785181	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	102785673	106014488	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	106199298	110770435	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	111464461	114095750	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	114098499	121333234	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	152143318	154050499	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	156545397	164364076	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	164604405	169693850	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	169784737	172528943	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	172531672	179551652	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	179890933	183755037	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	183762403	184856197	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	184857418	186257971	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	186260311	187689619	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	187961022	190342876	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	190343439	191502162	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	191612406	195393642	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	195397391	197018398	2	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	197020319	201994556	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	201995394	203587538	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	204247388	207259276	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	207345333	208426298	1	1
ProstateCA_A10E-0015_CRUK_PC_0015_T1	1	208427259	222168110	1	1
