sample_id	chrom	start	end	cn_a	cn_b
diploid	chr1	0	1	1	1
diploid	chr1	1	2	1	1
diploid	chr1	2	3	1	1
diploid	chr1	3	4	1	1
diploid	chr1	4	5	1	1
diploid	chr2	0	1	1	1
diploid	chr2	1	2	1	1
diploid	chr2	2	3	1	1
diploid	chr2	3	4	1	1
diploid	chr2	4	5	1	1
internal_1	chr1	0	1	1	1
internal_1	chr1	1	2	1	1
internal_1	chr1	2	3	0	1
internal_1	chr1	3	4	1	1
internal_1	chr1	4	5	1	1
internal_1	chr2	0	1	1	1
internal_1	chr2	1	2	1	1
internal_1	chr2	2	3	1	1
internal_1	chr2	3	4	1	1
internal_1	chr2	4	5	1	1
internal_2	chr1	0	1	2	1
internal_2	chr1	1	2	2	1
internal_2	chr1	2	3	0	1
internal_2	chr1	3	4	2	1
internal_2	chr1	4	5	2	2
internal_2	chr2	0	1	2	2
internal_2	chr2	1	2	2	2
internal_2	chr2	2	3	2	2
internal_2	chr2	3	4	2	2
internal_2	chr2	4	5	1	2
internal_3	chr1	0	1	2	1
internal_3	chr1	1	2	2	1
internal_3	chr1	2	3	0	1
internal_3	chr1	3	4	2	1
internal_3	chr1	4	5	2	1
internal_3	chr2	0	1	2	2
internal_3	chr2	1	2	2	2
internal_3	chr2	2	3	3	2
internal_3	chr2	3	4	2	2
internal_3	chr2	4	5	2	2
internal_4	chr1	0	1	2	1
internal_4	chr1	1	2	2	1
internal_4	chr1	2	3	0	1
internal_4	chr1	3	4	2	1
internal_4	chr1	4	5	2	2
internal_4	chr2	0	1	2	2
internal_4	chr2	1	2	2	2
internal_4	chr2	2	3	2	2
internal_4	chr2	3	4	2	2
internal_4	chr2	4	5	2	2
sample 1	chr1	0	1	1	1
sample 1	chr1	1	2	1	1
sample 1	chr1	2	3	0	1
sample 1	chr1	3	4	1	1
sample 1	chr1	4	5	1	1
sample 1	chr2	0	1	1	2
sample 1	chr2	1	2	1	2
sample 1	chr2	2	3	1	1
sample 1	chr2	3	4	1	1
sample 1	chr2	4	5	1	1
sample 2	chr1	0	1	2	1
sample 2	chr1	1	2	2	1
sample 2	chr1	2	3	0	1
sample 2	chr1	3	4	2	1
sample 2	chr1	4	5	2	2
sample 2	chr2	0	1	3	2
sample 2	chr2	1	2	2	2
sample 2	chr2	2	3	2	2
sample 2	chr2	3	4	2	2
sample 2	chr2	4	5	1	2
sample 3	chr1	0	1	2	1
sample 3	chr1	1	2	2	1
sample 3	chr1	2	3	0	1
sample 3	chr1	3	4	2	1
sample 3	chr1	4	5	2	1
sample 3	chr2	0	1	2	2
sample 3	chr2	1	2	2	2
sample 3	chr2	2	3	3	2
sample 3	chr2	3	4	2	2
sample 3	chr2	4	5	2	2
sample 4	chr1	0	1	2	1
sample 4	chr1	1	2	2	1
sample 4	chr1	2	3	0	1
sample 4	chr1	3	4	2	1
sample 4	chr1	4	5	2	1
sample 4	chr2	0	1	2	2
sample 4	chr2	1	2	2	2
sample 4	chr2	2	3	4	2
sample 4	chr2	3	4	2	2
sample 4	chr2	4	5	2	2
sample 5	chr1	0	1	2	1
sample 5	chr1	1	2	2	1
sample 5	chr1	2	3	0	1
sample 5	chr1	3	4	2	1
sample 5	chr1	4	5	2	2
sample 5	chr2	0	1	2	2
sample 5	chr2	1	2	2	2
sample 5	chr2	2	3	2	2
sample 5	chr2	3	4	2	2
sample 5	chr2	4	5	1	2
