sample_id	chrom	start	end	cn_a	cn_b
LAdrenalMet	chr1	770085	16851440	2	1
LAdrenalMet	chr1	17275895	21009611	2	1
LAdrenalMet	chr1	21758505	63956746	2	1
LAdrenalMet	chr1	63988904	67207598	2	1
LAdrenalMet	chr1	67597693	69324595	2	1
LAdrenalMet	chr1	69743750	80854094	2	1
LAdrenalMet	chr1	80926312	87322286	2	0
LAdrenalMet	chr1	87473642	90953336	2	1
LAdrenalMet	chr1	92469678	94275908	2	1
LAdrenalMet	chr1	95180880	121350213	2	1
LAdrenalMet	chr1	144896319	212345669	2	1
LAdrenalMet	chr1	212354412	213356494	1	0
LAdrenalMet	chr1	213364581	249216384	2	1
LAdrenalMet	chr2	30762	11758536	2	2
LAdrenalMet	chr2	11761422	25646967	2	2
LAdrenalMet	chr2	26558294	27685014	2	2
LAdrenalMet	chr2	27688601	28780313	2	2
LAdrenalMet	chr2	28789884	31276325	2	2
LAdrenalMet	chr2	31280138	47368754	2	2
LAdrenalMet	chr2	47371933	56978709	2	2
LAdrenalMet	chr2	57230838	58306811	2	2
LAdrenalMet	chr2	58309374	77420661	3	0
LAdrenalMet	chr2	77429248	80057523	2	2
LAdrenalMet	chr2	80062846	83008205	2	2
LAdrenalMet	chr2	83504968	92266269	2	2
LAdrenalMet	chr2	95346816	122207005	2	2
LAdrenalMet	chr2	122455038	131141569	2	2
LAdrenalMet	chr2	131893348	172399050	2	2
LAdrenalMet	chr2	172416376	227670180	2	2
LAdrenalMet	chr2	227857497	242979500	2	2
LAdrenalMet	chr3	74710	6811529	2	2
LAdrenalMet	chr3	6827403	31916987	2	2
LAdrenalMet	chr3	31927419	70665990	2	2
LAdrenalMet	chr3	70688829	73887945	2	2
LAdrenalMet	chr3	73889849	87897910	2	2
LAdrenalMet	chr3	87900375	90502271	2	2
LAdrenalMet	chr3	93505756	124675577	2	2
LAdrenalMet	chr3	125122081	131094744	2	2
LAdrenalMet	chr3	131114421	151922841	2	2
LAdrenalMet	chr3	152656180	153965068	2	2
LAdrenalMet	chr3	154090291	175431181	2	2
LAdrenalMet	chr3	176157040	194810129	2	2
LAdrenalMet	chr3	194811612	197845233	2	2
LAdrenalMet	chr4	92231	49092676	2	2
LAdrenalMet	chr4	52681128	77259248	2	2
LAdrenalMet	chr4	77262694	174106663	2	2
LAdrenalMet	chr4	174109622	176134061	2	2
LAdrenalMet	chr4	176150780	190790246	2	2
LAdrenalMet	chr5	859828	46098606	1	2
LAdrenalMet	chr5	49441779	50699552	2	1
LAdrenalMet	chr5	50700597	57309750	1	2
