sample_id	chrom	start	end	cn_a	cn_b
RSubduralMet	1	770085	16851440	2	1
RSubduralMet	1	17275895	21009611	2	1
RSubduralMet	1	21758505	63956746	2	1
RSubduralMet	1	63988904	67207598	2	1
RSubduralMet	1	67597693	69324595	2	1
RSubduralMet	1	69743750	80854094	2	1
RSubduralMet	1	80926312	87322286	1	0
RSubduralMet	1	87473642	90953336	2	1
RSubduralMet	1	92469678	94275908	1	1
RSubduralMet	1	95180880	121350213	2	1
RSubduralMet	1	144896319	212345669	2	1
RSubduralMet	1	212354412	213356494	1	0
RSubduralMet	1	213364581	249216384	2	1
RSubduralMet	2	30762	11758536	2	2
RSubduralMet	2	11761422	25646967	2	2
RSubduralMet	2	26558294	27685014	2	2
RSubduralMet	2	27688601	28780313	2	2
RSubduralMet	2	28789884	31276325	2	2
RSubduralMet	2	31280138	47368754	2	2
RSubduralMet	2	47371933	56978709	2	2
RSubduralMet	2	57230838	58306811	2	2
RSubduralMet	2	58309374	77420661	2	0
RSubduralMet	2	77429248	80057523	2	2
RSubduralMet	2	80062846	83008205	2	2
RSubduralMet	2	83504968	92266269	2	2
RSubduralMet	2	95346816	122207005	2	2
RSubduralMet	2	122455038	131141569	2	2
RSubduralMet	2	131893348	172399050	2	2
RSubduralMet	2	172416376	227670180	2	2
RSubduralMet	2	227857497	242979500	2	2
RSubduralMet	3	74710	6811529	2	2
RSubduralMet	3	6827403	31916987	2	2
RSubduralMet	3	31927419	70665990	2	2
RSubduralMet	3	70688829	73887945	2	2
RSubduralMet	3	73889849	87897910	2	2
RSubduralMet	3	87900375	90502271	2	2
RSubduralMet	3	93505756	124675577	2	2
RSubduralMet	3	125122081	131094744	2	2
RSubduralMet	3	131114421	151922841	2	2
RSubduralMet	3	152656180	153965068	2	2
RSubduralMet	3	154090291	175431181	2	2
RSubduralMet	3	176157040	194810129	2	2
RSubduralMet	3	194811612	197845233	2	2
RSubduralMet	4	92231	49092676	2	2
RSubduralMet	4	52681128	77259248	2	2
RSubduralMet	4	77262694	174106663	2	2
RSubduralMet	4	174109622	176134061	2	2
RSubduralMet	4	176150780	190790246	2	2
RSubduralMet	5	859828	46098606	2	1
RSubduralMet	5	49441779	50699552	2	1
RSubduralMet	5	50700597	57309750	2	1
RSubduralMet	5	57318866	58367957	3	2
RSubduralMet	5	58382465	99928881	2	1
RSubduralMet	5	99929353	180685900	2	1
RSubduralMet	6	205696	6782298	2	1
RSubduralMet	6	7245458	58773345	2	1
RSubduralMet	6	61881006	70925185	2	1
RSubduralMet	6	70930894	80431894	2	1
RSubduralMet	6	80458909	108810565	1	0
RSubduralMet	6	108833037	110118776	2	1
RSubduralMet	6	110150990	139107230	2	1
RSubduralMet	6	140128723	170847498	2	1
RSubduralMet	7	80500	57999512	3	1
RSubduralMet	7	61739232	159121569	3	1
RSubduralMet	8	164050	29184507	3	0
RSubduralMet	8	29195447	43086170	3	3
RSubduralMet	8	46858035	48099109	3	3
RSubduralMet	8	48101793	96801724	3	3
RSubduralMet	8	96813185	101710929	3	2
RSubduralMet	8	101747208	124150413	3	3
RSubduralMet	8	124150990	145977731	3	2
RSubduralMet	9	242529	24842558	2	2
RSubduralMet	9	24891933	38773520	2	2
RSubduralMet	9	71037776	117123750	2	2
RSubduralMet	9	117124519	118244782	2	0
RSubduralMet	9	118279910	121034033	2	2
RSubduralMet	9	121142577	141068960	2	2
RSubduralMet	10	167852	31081029	2	2
RSubduralMet	10	31094499	36754332	2	2
RSubduralMet	10	38012289	39054567	2	2
RSubduralMet	10	42411044	55659939	2	2
RSubduralMet	10	56585587	64351581	2	2
RSubduralMet	10	64821923	86376297	2	2
RSubduralMet	10	86767662	88421457	2	0
RSubduralMet	10	91178000	92449965	2	2
RSubduralMet	10	93203980	94436947	2	2
RSubduralMet	10	94447558	96128383	2	0
RSubduralMet	10	96227408	97376115	2	2
RSubduralMet	10	97390533	99667593	3	0
RSubduralMet	10	99684342	102746231	2	2
RSubduralMet	10	104677662	105844219	2	0
RSubduralMet	10	105883395	113636895	2	2
RSubduralMet	10	115147900	135235890	2	2
RSubduralMet	11	197337	2688526	2	1
RSubduralMet	11	2899538	5270418	2	1
RSubduralMet	11	5279153	51512796	2	1
RSubduralMet	11	55707447	134942926	2	1
RSubduralMet	12	193920	9626490	3	0
RSubduralMet	12	9630126	23281554	3	0
RSubduralMet	12	23283594	29864643	3	0
RSubduralMet	12	29864808	34840686	3	0
RSubduralMet	12	37864093	48213942	3	0
RSubduralMet	12	48245828	49444545	3	0
RSubduralMet	12	49455870	53442129	3	0
RSubduralMet	12	53442956	133802299	3	2
RSubduralMet	13	19455253	40345466	2	1
RSubduralMet	13	40351064	74222154	1	0
RSubduralMet	13	74310237	114989973	2	1
RSubduralMet	14	20425051	37741821	2	1
RSubduralMet	14	38110163	51717411	2	1
RSubduralMet	14	52488385	56972779	2	1
RSubduralMet	14	57054459	73700667	2	1
RSubduralMet	14	73704224	107283598	3	1
RSubduralMet	15	20029688	45439077	2	1
RSubduralMet	15	45454720	102376761	2	1
RSubduralMet	16	143503	1778515	2	1
RSubduralMet	16	3213276	19243587	2	1
RSubduralMet	16	20245283	23039075	2	1
