sample_id	chrom	start	end	cn_a	cn_b
M_EX2_SU_T1-R3	chr1	1	1	2	1
M_EX2_SU_T1-R3	chr1	2	2	2	1
M_EX2_SU_T1-R3	chr1	3	3	2	1
M_EX2_SU_T1-R3	chr1	4	4	2	1
M_EX2_SU_T1-R3	chr1	5	5	2	1
M_EX2_SU_T1-R3	chr1	6	6	2	1
M_EX2_SU_T1-R3	chr1	7	7	2	1
M_EX2_SU_T1-R3	chr1	8	8	2	1
M_EX2_SU_T1-R3	chr1	9	9	2	1
M_EX2_SU_T1-R3	chr1	10	10	2	2
M_EX2_SU_T1-R3	chr1	11	11	2	1
M_EX2_SU_T1-R3	chr1	12	12	2	1
M_EX2_SU_T1-R3	chr1	13	13	2	1
M_EX2_SU_T1-R3	chr1	14	14	2	1
M_EX2_SU_T1-R3	chr1	15	15	2	1
M_EX2_SU_T1-R3	chr1	16	16	2	1
M_EX2_SU_T1-R3	chr1	17	17	2	1
M_EX2_SU_T1-R3	chr1	18	18	2	2
M_EX2_SU_T1-R3	chr1	19	19	2	2
M_EX2_SU_T1-R3	chr1	20	20	2	2
M_EX2_SU_T1-R3	chr1	21	21	2	2
M_EX2_SU_T1-R3	chr1	22	22	2	2
M_EX2_SU_T1-R3	chr2	1	1	1	1
M_EX2_SU_T1-R3	chr2	2	2	1	1
M_EX2_SU_T1-R3	chr2	3	3	1	1
M_EX2_SU_T1-R3	chr2	4	4	1	1
M_EX2_SU_T1-R3	chr2	5	5	1	1
M_EX2_SU_T1-R3	chr2	6	6	1	1
M_EX2_SU_T1-R3	chr2	7	7	1	1
M_EX2_SU_T1-R3	chr3	1	1	2	0
M_EX2_SU_T1-R3	chr3	2	2	2	0
M_EX2_SU_T1-R3	chr3	3	3	2	0
M_EX2_SU_T1-R3	chr3	4	4	2	0
M_EX2_SU_T1-R3	chr3	5	5	2	2
M_EX2_SU_T1-R3	chr3	6	6	2	2
M_EX2_SU_T1-R3	chr3	7	7	3	2
M_EX2_SU_T1-R3	chr3	8	8	3	2
M_EX2_SU_T1-R3	chr3	9	9	3	2
M_EX2_SU_T1-R3	chr3	10	10	2	2
M_EX2_SU_T1-R3	chr3	11	11	2	2
M_EX2_SU_T1-R3	chr3	12	12	2	2
M_EX2_SU_T1-R3	chr3	13	13	3	3
M_EX2_SU_T1-R3	chr3	14	14	3	3
M_EX2_SU_T1-R3	chr3	15	15	3	3
M_EX2_SU_T1-R3	chr3	16	16	3	2
M_EX2_SU_T1-R3	chr4	1	1	2	1
M_EX2_SU_T1-R3	chr4	2	2	2	1
M_EX2_SU_T1-R3	chr4	3	3	2	1
M_EX2_SU_T1-R3	chr4	4	4	2	1
M_EX2_SU_T1-R3	chr4	5	5	2	1
M_EX2_SU_T1-R3	chr4	6	6	2	1
M_EX2_SU_T1-R3	chr4	7	7	2	1
M_EX2_SU_T1-R3	chr4	8	8	2	1
M_EX2_SU_T1-R3	chr5	1	1	2	2
M_EX2_SU_T1-R3	chr5	2	2	2	2
M_EX2_SU_T1-R3	chr5	3	3	2	2
M_EX2_SU_T1-R3	chr5	4	4	2	1
M_EX2_SU_T1-R3	chr5	5	5	1	2
M_EX2_SU_T1-R3	chr5	6	6	2	1
M_EX2_SU_T1-R3	chr5	7	7	2	1
M_EX2_SU_T1-R3	chr5	8	8	2	1
M_EX2_SU_T1-R3	chr5	9	9	2	1
M_EX2_SU_T1-R3	chr5	10	10	2	1
M_EX2_SU_T1-R3	chr5	11	11	2	1
M_EX2_SU_T1-R3	chr6	1	1	2	0
M_EX2_SU_T1-R3	chr6	2	2	7	7
M_EX2_SU_T1-R3	chr6	3	3	0	0
M_EX2_SU_T1-R3	chr6	4	4	0	0
M_EX2_SU_T1-R3	chr6	5	5	2	2
M_EX2_SU_T1-R3	chr6	6	6	2	2
M_EX2_SU_T1-R3	chr6	7	7	2	2
M_EX2_SU_T1-R3	chr6	8	8	6	2
M_EX2_SU_T1-R3	chr6	9	9	6	2
M_EX2_SU_T1-R3	chr6	10	10	8	2
M_EX2_SU_T1-R3	chr6	11	11	8	2
M_EX2_SU_T1-R3	chr6	12	12	5	2
M_EX2_SU_T1-R3	chr6	13	13	2	0
M_EX2_SU_T1-R3	chr6	14	14	2	0
M_EX2_SU_T1-R3	chr6	15	15	2	0
M_EX2_SU_T1-R3	chr6	16	16	2	0
M_EX2_SU_T1-R3	chr6	17	17	3	3
M_EX2_SU_T1-R3	chr6	18	18	3	3
M_EX2_SU_T1-R3	chr6	19	19	2	0
M_EX2_SU_T1-R3	chr6	20	20	2	0
M_EX2_SU_T1-R3	chr6	21	21	2	2
M_EX2_SU_T1-R3	chr6	22	22	2	2
