sample_id	chrom	start	end	cn_a	cn_b	is_gain	is_loss	is_wgd	is_normal	is_clonal
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	762601	12240824	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	12262426	16188681	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	16318654	28100721	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	28186226	31162430	0	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	31209796	41172539	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	41836787	49448355	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	49507230	53376423	0	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	53382816	59076717	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	59206042	89871906	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	89936945	94877801	3	1	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	94889414	95956633	0	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	95964323	113567908	2	1	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	113590993	121322377	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	144896319	154840287	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	155888666	165805499	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	165921899	173978047	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	174479134	241830609	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr1	241853330	249218590	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	58639	9801779	2	1	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	9822136	13048350	2	3	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	13069143	92326170	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	95326172	127325786	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	127678372	156230472	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	159301529	165739014	2	4	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	165991453	171306347	2	6	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	171671684	173413478	2	6	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	173415560	175448779	3	0	True	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	175508353	179998629	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	182138407	183848114	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	183854197	191726750	2	2	False	False	False	False	True
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	191866658	193712886	6	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	193719380	194902287	6	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	195051157	196795059	6	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	196882116	205670926	4	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	205730031	225271467	4	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	225711463	228378861	5	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr2	228381108	242852391	3	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	1275220	7802096	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	7804983	9174699	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	10242243	15807426	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	15848174	21999986	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	22000066	27528588	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	27529937	32924374	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	32993676	56414649	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	56687708	60481459	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	60994583	71049364	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	71055008	73487467	4	0	True	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	73510258	78704642	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	78739759	80573896	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	80593803	84098754	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	84108706	87899099	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	87900467	90504645	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	93511746	102194775	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	102382889	105365041	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	105410023	119086836	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	119365696	120704935	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	120763269	130459340	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	132620575	156540806	2	2	False	False	False	False	False
LCervicalLNMet1-2_A32D-0019_CRUK_PC_0019_M2	chr3	156751494	188149586	2	2	False	False	False	False	False
