chr_01 OV03-04_chr01_major.fasta OV03-04_chr01_minor.fasta
chr_02 OV03-04_chr02_major.fasta OV03-04_chr02_minor.fasta
chr_03 OV03-04_chr03_major.fasta OV03-04_chr03_minor.fasta
chr_04 OV03-04_chr04_major.fasta OV03-04_chr04_minor.fasta
chr_05 OV03-04_chr05_major.fasta OV03-04_chr05_minor.fasta
chr_06 OV03-04_chr06_major.fasta OV03-04_chr06_minor.fasta
chr_07 OV03-04_chr07_major.fasta OV03-04_chr07_minor.fasta
chr_08 OV03-04_chr08_major.fasta OV03-04_chr08_minor.fasta
chr_09 OV03-04_chr09_major.fasta OV03-04_chr09_minor.fasta
chr_10 OV03-04_chr10_major.fasta OV03-04_chr10_minor.fasta
chr_11 OV03-04_chr11_major.fasta OV03-04_chr11_minor.fasta
chr_12 OV03-04_chr12_major.fasta OV03-04_chr12_minor.fasta
chr_13 OV03-04_chr13_major.fasta OV03-04_chr13_minor.fasta
chr_14 OV03-04_chr14_major.fasta OV03-04_chr14_minor.fasta
chr_15 OV03-04_chr15_major.fasta OV03-04_chr15_minor.fasta
chr_16 OV03-04_chr16_major.fasta OV03-04_chr16_minor.fasta
chr_17 OV03-04_chr17_major.fasta OV03-04_chr17_minor.fasta
chr_18 OV03-04_chr18_major.fasta OV03-04_chr18_minor.fasta
chr_19 OV03-04_chr19_major.fasta OV03-04_chr19_minor.fasta
chr_20 OV03-04_chr20_major.fasta OV03-04_chr20_minor.fasta
chr_21 OV03-04_chr21_major.fasta OV03-04_chr21_minor.fasta
chr_22 OV03-04_chr22_major.fasta OV03-04_chr22_minor.fasta
