sample_id	chrom	start	end	cn_a	cn_b
diploid	chr1	1	1	1	1
diploid	chr1	2	2	1	1
diploid	chr1	3	3	1	1
diploid	chr1	4	4	1	1
diploid	chr1	5	5	1	1
diploid	chr2	1	1	1	1
diploid	chr2	2	2	1	1
diploid	chr2	3	3	1	1
diploid	chr2	4	4	1	1
diploid	chr2	5	5	1	1
internal_1	chr1	1	1	1	1
internal_1	chr1	2	2	1	1
internal_1	chr1	3	3	0	1
internal_1	chr1	4	4	1	1
internal_1	chr1	5	5	1	1
internal_1	chr2	1	1	1	1
internal_1	chr2	2	2	1	1
internal_1	chr2	3	3	1	1
internal_1	chr2	4	4	1	1
internal_1	chr2	5	5	1	1
internal_2	chr1	1	1	2	1
internal_2	chr1	2	2	2	1
internal_2	chr1	3	3	0	1
internal_2	chr1	4	4	2	1
internal_2	chr1	5	5	2	2
internal_2	chr2	1	1	2	1
internal_2	chr2	2	2	2	1
internal_2	chr2	3	3	2	1
internal_2	chr2	4	4	2	1
internal_2	chr2	5	5	2	1
internal_3	chr1	1	1	2	1
internal_3	chr1	2	2	2	1
internal_3	chr1	3	3	0	1
internal_3	chr1	4	4	2	1
internal_3	chr1	5	5	2	1
internal_3	chr2	1	1	2	1
internal_3	chr2	2	2	2	1
internal_3	chr2	3	3	3	1
internal_3	chr2	4	4	2	1
internal_3	chr2	5	5	2	1
internal_4	chr1	1	1	2	1
internal_4	chr1	2	2	2	1
internal_4	chr1	3	3	0	1
internal_4	chr1	4	4	2	1
internal_4	chr1	5	5	2	1
internal_4	chr2	1	1	2	1
internal_4	chr2	2	2	2	1
internal_4	chr2	3	3	2	1
internal_4	chr2	4	4	2	1
internal_4	chr2	5	5	2	1
taxon1	chr1	1	1	1	1
taxon1	chr1	2	2	1	1
taxon1	chr1	3	3	0	1
taxon1	chr1	4	4	1	1
taxon1	chr1	5	5	1	1
taxon1	chr2	1	1	1	1
taxon1	chr2	2	2	1	1
taxon1	chr2	3	3	1	1
taxon1	chr2	4	4	1	1
taxon1	chr2	5	5	1	1
taxon2	chr1	1	1	2	1
taxon2	chr1	2	2	2	1
taxon2	chr1	3	3	0	1
taxon2	chr1	4	4	2	1
taxon2	chr1	5	5	2	2
taxon2	chr2	1	1	2	1
taxon2	chr2	2	2	2	1
taxon2	chr2	3	3	2	1
taxon2	chr2	4	4	2	1
taxon2	chr2	5	5	1	1
taxon3	chr1	1	1	2	1
taxon3	chr1	2	2	2	1
taxon3	chr1	3	3	0	1
taxon3	chr1	4	4	2	1
taxon3	chr1	5	5	2	1
taxon3	chr2	1	1	2	1
taxon3	chr2	2	2	2	1
taxon3	chr2	3	3	3	1
taxon3	chr2	4	4	2	1
taxon3	chr2	5	5	2	1
taxon4	chr1	1	1	2	1
taxon4	chr1	2	2	2	1
taxon4	chr1	3	3	0	1
taxon4	chr1	4	4	2	1
taxon4	chr1	5	5	2	1
taxon4	chr2	1	1	2	1
taxon4	chr2	2	2	2	1
taxon4	chr2	3	3	4	1
taxon4	chr2	4	4	2	1
taxon4	chr2	5	5	2	1
taxon5	chr1	1	1	2	1
taxon5	chr1	2	2	2	1
taxon5	chr1	3	3	0	1
taxon5	chr1	4	4	2	1
taxon5	chr1	5	5	2	2
taxon5	chr2	1	1	1	1
taxon5	chr2	2	2	1	1
taxon5	chr2	3	3	1	1
taxon5	chr2	4	4	2	1
taxon5	chr2	5	5	2	1
