sample_id	chrom	start	end	cn_a	cn_b
G_RLX001_SU_T1-R1	chr1	762496	3395001	0	2
G_RLX001_SU_T1-R1	chr1	3395002	29638032	0	2
G_RLX001_SU_T1-R1	chr1	29638033	62160520	0	2
G_RLX001_SU_T1-R1	chr1	62160521	62713223	0	2
G_RLX001_SU_T1-R1	chr1	62713224	109836835	0	2
G_RLX001_SU_T1-R1	chr1	109836836	121310061	0	2
G_RLX001_SU_T1-R1	chr1	144854581	145282070	0	1
G_RLX001_SU_T1-R1	chr1	145282071	151542140	0	1
G_RLX001_SU_T1-R1	chr1	151542141	153512528	0	2
G_RLX001_SU_T1-R1	chr1	153512529	158151482	0	2
G_RLX001_SU_T1-R1	chr1	158151483	158908933	0	2
G_RLX001_SU_T1-R1	chr1	158908934	196801042	0	2
G_RLX001_SU_T1-R1	chr1	196801043	234452492	0	2
G_RLX001_SU_T1-R1	chr1	234452493	249212481	0	2
G_RLX001_SU_T1-R1	chr2	41509	24042726	2	2
G_RLX001_SU_T1-R1	chr2	24042727	90193204	2	1
G_RLX001_SU_T1-R1	chr2	90193205	95947042	2	1
G_RLX001_SU_T1-R1	chr2	95947043	96525652	3	1
G_RLX001_SU_T1-R1	chr2	96525653	96525722	3	1
G_RLX001_SU_T1-R1	chr2	96525723	96541694	3	1
G_RLX001_SU_T1-R1	chr2	96541695	96610923	3	1
G_RLX001_SU_T1-R1	chr2	96610924	96616531	3	1
G_RLX001_SU_T1-R1	chr2	96616532	96652739	3	1
G_RLX001_SU_T1-R1	chr2	96652740	135738284	2	2
G_RLX001_SU_T1-R1	chr2	135738285	178129399	2	2
G_RLX001_SU_T1-R1	chr2	178129400	182399082	2	2
G_RLX001_SU_T1-R1	chr2	182399083	201507508	2	2
G_RLX001_SU_T1-R1	chr2	201507509	233898992	2	1
G_RLX001_SU_T1-R1	chr2	233898993	234354247	2	1
G_RLX001_SU_T1-R1	chr2	234354248	234602201	2	1
G_RLX001_SU_T1-R1	chr2	234602202	242344425	2	2
G_RLX001_SU_T1-R1	chr2	242344426	242439584	2	1
G_RLX001_SU_T1-R1	chr2	242439585	242572828	2	1
G_RLX001_SU_T1-R1	chr2	242572829	242946562	1	1
G_RLX001_SU_T1-R1	chr3	239347	2613083	1	2
G_RLX001_SU_T1-R1	chr3	2613084	11059438	1	0
G_RLX001_SU_T1-R1	chr3	11059439	19575553	1	2
