sample_id	chrom	start	end	cn_a	cn_b	is_clonal	is_normal	is_loh	is_wgd	is_gain	is_loss
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	770085	16851440	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	17275895	21009611	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	21758505	63956746	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	63988904	67207598	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	67597693	69324595	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	69743750	80854094	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	80926312	87322286	2	0	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	87473642	90953336	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	92469678	94275908	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	95180880	121350213	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	144896319	212345669	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	212354412	213356494	1	0	True	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr1	213364581	249216384	2	1	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	30762	11758536	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	11761422	25646967	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	26558294	27685014	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	27688601	28780313	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	28789884	31276325	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	31280138	47368754	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	47371933	56978709	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	57230838	58306811	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	58309374	77420661	3	0	False	False	False	False	True	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	77429248	80057523	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	80062846	83008205	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	83504968	92266269	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	95346816	122207005	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	122455038	131141569	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	131893348	172399050	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	172416376	227670180	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr2	227857497	242979500	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	74710	6811529	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	6827403	31916987	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	31927419	70665990	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	70688829	73887945	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	73889849	87897910	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	87900375	90502271	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	93505756	124675577	2	2	False	False	False	False	False	False
LAdrenalMet_A31E-0018_CRUK_PC_0018_M3	chr3	125122081	131094744	2	2	False	False	False	False	False	False
