sample_id	chrom	start	end	cn_a	cn_b
diploid	chr1	0	1	1	1
diploid	chr1	1	2	1	1
diploid	chr1	2	3	1	1
diploid	chr1	3	4	1	1
diploid	chr1	4	5	1	1
diploid	chr2	0	1	1	1
diploid	chr2	1	2	1	1
diploid	chr2	2	3	1	1
diploid	chr2	3	4	1	1
diploid	chr2	4	5	1	1
internal_1	chr1	0	1	1	1
internal_1	chr1	1	2	1	0
internal_1	chr1	2	3	0	0
internal_1	chr1	3	4	1	0
internal_1	chr1	4	5	1	1
internal_1	chr2	0	1	1	1
internal_1	chr2	1	2	1	1
internal_1	chr2	2	3	1	1
internal_1	chr2	3	4	1	1
internal_1	chr2	4	5	1	1
internal_2	chr1	0	1	1	1
internal_2	chr1	1	2	1	1
internal_2	chr1	2	3	1	1
internal_2	chr1	3	4	1	1
internal_2	chr1	4	5	1	1
internal_2	chr2	0	1	1	1
internal_2	chr2	1	2	1	1
internal_2	chr2	2	3	1	1
internal_2	chr2	3	4	1	1
internal_2	chr2	4	5	1	1
internal_3	chr1	0	1	1	1
internal_3	chr1	1	2	1	0
internal_3	chr1	2	3	1	0
internal_3	chr1	3	4	1	1
internal_3	chr1	4	5	1	1
internal_3	chr2	0	1	1	1
internal_3	chr2	1	2	1	1
internal_3	chr2	2	3	1	1
internal_3	chr2	3	4	1	1
internal_3	chr2	4	5	1	1
internal_4	chr1	0	1	1	1
internal_4	chr1	1	2	1	0
internal_4	chr1	2	3	1	0
internal_4	chr1	3	4	2	1
internal_4	chr1	4	5	2	1
internal_4	chr2	0	1	1	1
internal_4	chr2	1	2	1	1
internal_4	chr2	2	3	1	1
internal_4	chr2	3	4	1	1
internal_4	chr2	4	5	1	1
taxon_1	chr1	0	1	1	1
taxon_1	chr1	1	2	1	0
taxon_1	chr1	2	3	1	0
taxon_1	chr1	3	4	1	1
taxon_1	chr1	4	5	1	1
taxon_1	chr2	0	1	1	1
taxon_1	chr2	1	2	1	1
taxon_1	chr2	2	3	1	1
taxon_1	chr2	3	4	1	1
taxon_1	chr2	4	5	1	1
taxon_2	chr1	0	1	1	1
taxon_2	chr1	1	2	1	0
taxon_2	chr1	2	3	0	0
taxon_2	chr1	3	4	1	0
taxon_2	chr1	4	5	1	1
taxon_2	chr2	0	1	1	1
taxon_2	chr2	1	2	1	1
taxon_2	chr2	2	3	1	1
taxon_2	chr2	3	4	1	1
taxon_2	chr2	4	5	1	1
taxon_3	chr1	0	1	2	2
taxon_3	chr1	1	2	2	0
taxon_3	chr1	2	3	0	0
taxon_3	chr1	3	4	2	0
taxon_3	chr1	4	5	2	2
taxon_3	chr2	0	1	1	1
taxon_3	chr2	1	2	1	1
taxon_3	chr2	2	3	1	1
taxon_3	chr2	3	4	1	1
taxon_3	chr2	4	5	1	1
taxon_4	chr1	0	1	1	1
taxon_4	chr1	1	2	1	1
taxon_4	chr1	2	3	1	1
taxon_4	chr1	3	4	1	1
taxon_4	chr1	4	5	1	1
taxon_4	chr2	0	1	1	1
taxon_4	chr2	1	2	1	1
taxon_4	chr2	2	3	1	1
taxon_4	chr2	3	4	1	1
taxon_4	chr2	4	5	1	1
taxon_5	chr1	0	1	2	1
taxon_5	chr1	1	2	1	0
taxon_5	chr1	2	3	1	0
taxon_5	chr1	3	4	2	1
taxon_5	chr1	4	5	2	1
taxon_5	chr2	0	1	1	1
taxon_5	chr2	1	2	1	1
taxon_5	chr2	2	3	1	1
taxon_5	chr2	3	4	1	1
taxon_5	chr2	4	5	1	1
